qid,question_text,target
00002165364db923c7e6,How did Quebec nationalists see their province as a nation in the 1960s?,0
000032939017120e6e44,"Do you have an adopted dog, how would you encourage people to adopt and not shop?",0
0000412ca6e4628ce2cf,Why does velocity affect time? Does velocity affect space geometry?,0
000042bf85aa498cd78e,How did Otto von Guericke used the Magdeburg hemispheres?,0
0000455dfa3e01eae3af,Can I convert montra helicon D to a mountain bike by just changing the tyres?,0
00004f9a462a357c33be,"Is Gaza slowly becoming Auschwitz, Dachau or Treblinka for Palestinians?",0
00005059a06ee19e11ad,"Why does Quora automatically ban conservative opinions when reported, but does not do the same for liberal views?",0
0000559f875832745e2e,Is it crazy if I wash or wipe my groceries off? Germs are everywhere.,0
00005bd3426b2d0c8305,"Is there such a thing as dressing moderately, and if so, how is that different than dressing modestly?",0
00006e6928c5df60eacb,"Is it just me or have you ever been in this phase wherein you became ignorant to the people you once loved, completely disregarding their feelings/lives so you get to have something go your way and feel temporarily at ease. How did things change?",0
000075f67dd595c3deb5,What can you say about feminism?,0
000076f3b42776c692de,How were the Calgary Flames founded?,0
000089792b3fc8026741,"What is the dumbest, yet possibly true explanation for Trump being elected?",0
000092a90bcfbfe8cd88,Can we use our external hard disk as a OS as well as for data storage.will the data be affected?,0
000095680e41a9a6f6e3,"I am 30, living at home and have no boyfriend. I would love a boyfriend and my own home. How can I progress my situation?",0
0000a89942e3143e333a,What do you know about Bram Fischer and the Rivonia Trial?,0
0000b8e1279eaa0a7062,How difficult is it to find a good instructor to take a class near you?,0
0000bc0f62500f55959f,Have you licked the skin of a corpse?,0
0000ce6c31f14d3e09ec,Do you think Amazon will adopt an in house approach to manufacturing similar to the Tesla or Space X business models?,0
0000d329332845b8a7fa,How many baronies might exist within a county palatine?,0
0000dd973dfd35508c16,How I know whether a girl had done sex before sex with me?,0
0000e4d455f9c8877dc9,How do I become a fast learner both in my professional career and in my personal life?,0
000101ac65db6e4a1c13,"What is the strangest phenomenon you know of, have witnessed or have generated in the area of electronics that has no explanation in terms of modern physics?",0
00010632971fe5e3e0e2,Should I leave my friends and find new ones?,0
00010a2e064c3e8f152a,Can you make Amazon Alexa trigger events in the browser?,0
00012011b6c7759461e8,Why haven't two democracies never ever went for a full fledged war? What stops them?,0
00012fd5128d576260ab,How can I top CBSE in 6 months?,0
0001303b1799a042b26b,What should I know before visiting Mcleodganj and doing the Triund trek?,0
00013a8152b5f37b780e,How do modern military submarines reduce noise to achieve stealth?,0
00014b4f153c26b02df2,How can I remove black heads which are all over my nose?,0
00017146167b4072ae5f,"If lightsabers are created by individual wielders, does each saber have unique powers/abilities?",0
00017aad73813a93e79d,Is anyone still using Visual Basic? Is it worth learning in 2018? Would there be professional jobs for Visual Basic programmers in 2018-19-20?,0
00017b03f780a558fb23,What is Sykes Enterprises all about?,0
0001919a5af9610c95c9,Is there any clear relations between the number of nodes/DOFs and the computational performances and requirements in FEA or CFD analyses (for ANSYS solutions in particular)?,0
00019e410e5002f1dc8d,"Why my package still is ISC since May 31,2017 and I don't have updated?",0
00019e6de5c31a235308,What does great wit mean?,0
0001acfd80069f051d5a,"In your experience working with Realtors, what do you wish Realtors did better?",0
0001ad0e065679a75450,How do I get charge by contact?,0
0001b135fa7979a6f1f1,Do all public school teachers automatically get vacation whenever they ask for it?,0
0001b70b617623c8ec11,What is the role of technology in using a resource?,0
0001b85e3c9fa5120e8d,Should I opt Jaypee University Guna for mechanical engineering?,0
0001d772cf3019016119,Where can I download Microsoft Word for Windows 2.0 in Hungarian?,0
0001dffd4f210f6beedb,What do I need to know about buying a car in South Africa as an American?,0
